GEOID,obesity_cr,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density,fafood,fitness,park
36047021700,25.6,0.478293791,0,0.078495709,0,0.18298839,0.411660777,0.33903577,0.208985361,0.171882887,0.119888945,0.122917718,0.161534578,0.134178159,64091,0.069294067,0.184250379,0.199172577,1339000,1939,0.872931442,33125.70545,0.447096032,0.424381829,0.71132835
36047026500,30.5,0.551741418,0.007015786,0.020045101,0,0.176146329,0.518667001,0.345541879,0.247055876,0.185166625,0.124530193,0.097970433,0.158857429,0.21321013,58821,0.067264574,0.192628124,0.224816544,895300,1939,0.681787859,25020.06119,0.368909513,0.562180974,0.51136891
36047029500,28.6,0.684716362,0,0.037037037,0,0.084153774,0.456399437,0.29830786,0.229723394,0.196671355,0.143225504,0.103375527,0.172995781,0.087436869,58951,0.049339549,0.199015471,0.140105079,1105800,1939,0.678925861,25935.49564,0.410673609,0.600065083,0.674910511
36047015100,18.2,0.03012334,0,0.058349146,0,0.188804554,0.448766603,0.597335755,0.114326376,0.211100569,0.16816888,0.102703985,0.167694497,0.038774845,127076,0.030127941,0.051867714,0.026785714,1213800,1939,0.510119048,28253.58531,0.269540943,0.638027295,0.770471464
36047055800,20.7,0.01501251,0,0.124270225,0,0.128023353,0.513761468,0.540416878,0.152210175,0.132193495,0.112176814,0.142618849,0.242702252,0.145820984,62054,0.06661251,0.154328733,0.20154185,718500,1939,0.665198238,13980.79535,0.551615799,0.492818671,1.005834829
36047007600,27.5,0.023707734,0,0.168480373,0,0.653905946,0.473766032,0.489611342,0.236105713,0.170812281,0.110376992,0.083754372,0.157403809,0.340053365,41313,0.0806827,0.326078508,0.261055635,754700,1939,0.731811698,37222.42315,0.518156425,0.394320298,0.416899441
36047012200,24.2,0.002605976,0.001216122,0.453266157,0,0.4485754,0.531792912,0.552896444,0.195448228,0.195969423,0.108929812,0.086692147,0.165913829,0.570542636,48832,0.140868412,0.308547603,0.405863192,1020100,1939,0.836482085,31705.46308,0.408172963,0.357329532,0.552387741
36047010200,18.6,0.004472968,0,0.71411902,0,0.240178919,0.494749125,0.603603604,0.162582653,0.195643718,0.112991054,0.131855309,0.121742513,0.523645744,56056,0.026821457,0.23128185,0.287808642,1038900,1939,0.735339506,33749.90155,0.356365775,0.231108498,0.421346663
36047040900,30.8,0.25466893,0.00565931,0.004244482,0,0.697792869,0.487549519,0.288332746,0.267685342,0.187323147,0.091680815,0.144878325,0.068760611,0.242424242,49083,0.060157791,0.328805886,0.306697108,662000,1939,0.871385084,20521.81386,0.41443539,0.333643772,0.683818393
36047116800,28.6,0.360337972,0.024353877,0.013916501,0,0.628727634,0.456262425,0.366552901,0.132703777,0.130218688,0.105367793,0.224652087,0.06361829,0.241469816,60968,0.012170385,0.254970179,0.255520505,481300,1946,0.826498423,13984.55582,0.634001485,0.180772086,0.452858203
36047096600,29.9,0.798507463,0,0.043656716,0,0.095522388,0.484701493,0.425171625,0.212686567,0.132835821,0.122014925,0.089179104,0.209701493,0.128994083,75481,0.038514443,0.096641791,0.080301129,575400,1957,0.412797992,14798.12704,0.382791328,0.240740741,0.49796748
36047005202,21.2,0.043062201,0,0.023923445,0.006524576,0.074380165,0.494997825,0.426900585,0.122227055,0.167899087,0.137016094,0.097868639,0.342322749,0.071354167,72159,0.029185868,0.161713287,0.061435973,377800,1951,0.55292376,4012.853699,0.395846444,0.529893014,1.281938326
36047017600,20.7,0.008583691,0,0.305891533,0,0.194303551,0.515411627,0.580853175,0.124853687,0.156067109,0.168942645,0.125243855,0.182988685,0.310157523,60590,0.085430969,0.200936403,0.234636872,591500,1950,0.541899441,11817.64947,0.514531755,0.363832078,0.969321851
36047042200,22.3,0.025097602,0.023145566,0.044617959,0,0.181818182,0.562744004,0.598958333,0.158393753,0.181260457,0.090351366,0.110987172,0.169827105,0.159432746,61042,0.093804285,0.171779141,0.181903864,871900,1939,0.69462771,15787.55046,0.395116919,0.435694635,0.767537827
36047073800,28.8,0.500832739,0,0.06162265,0,0.136569117,0.508446348,0.537043135,0.169164882,0.148227457,0.116583393,0.078753271,0.150130859,0.153287616,64541,0.050424929,0.162978825,0.250862069,589100,1939,0.557758621,23289.18934,0.640895954,0.261560694,0.424132948
36047054600,22,0.046300211,0,0.069978858,0,0.054122622,0.484143763,0.569915829,0.13192389,0.117124736,0.128541226,0.094926004,0.26744186,0.082867784,49798,0.071713147,0.172771544,0.276221856,734100,1943,0.830313015,26196.56842,0.659495242,0.570128258,0.934422838
36047028200,19.5,0.000561167,0.002805836,0.506453423,0,0.081649832,0.469977553,0.593391304,0.121212121,0.13047138,0.135241302,0.179292929,0.2003367,0.157689305,60292,0.056419113,0.195847363,0.257425743,760100,1951,0.585808581,14699.69561,0.7360974,0.497532083,1.047054952
36047031300,30.2,0.748663102,0.004278075,0.015187166,0,0.145668449,0.49368984,0.315674891,0.134331551,0.194652406,0.192085561,0.167058824,0.182887701,0.13347514,43880,0.043412034,0.203091456,0.168045276,759600,1939,0.853286896,26837.73932,0.436302895,0.471046771,0.620712695
36047081000,30.4,0.701125469,0,0.007503126,0,0.041684035,0.463526469,0.351541374,0.14297624,0.196331805,0.067111296,0.128803668,0.203001251,0.123152709,46250,0.085067873,0.183972426,0.166480447,463900,1939,0.793296089,14779.72116,0.400916964,0.303107489,0.693835965
36047085800,31,0.964177816,0,0,0,0.056538628,0.482520501,0.372579001,0.175226586,0.108761329,0.140267587,0.162278809,0.22615451,0.111316113,53954,0.038461538,0.095381959,0.130285714,410500,1948,0.514285714,16737.82228,0.478481871,0.295831921,0.442900712
